epoch,accuracy,loss,val_accuracy,val_loss
0,0.3805701732635498,1.3252043724060059,0.43515849113464355,1.2681058645248413
1,0.6529200077056885,0.9736717939376831,0.6138328313827515,0.9312222599983215
2,0.7932466268539429,0.5797262787818909,0.6887608170509338,0.8047052621841431
3,0.8447273969650269,0.4194723069667816,0.6858789920806885,0.8092146515846252
4,0.8809853196144104,0.33177313208580017,0.6772334575653076,0.8259948492050171
5,0.9081096053123474,0.2732236087322235,0.6772334575653076,0.8860052227973938
6,0.9266537427902222,0.22350963950157166,0.6743515729904175,0.9291922450065613
7,0.9391087889671326,0.18845495581626892,0.680115282535553,0.9686258435249329
8,0.9460282325744629,0.16368862986564636,0.6685879230499268,1.0912482738494873
9,0.9562690258026123,0.13927088677883148,0.6570605039596558,1.1171400547027588
10,0.9606974720954895,0.1268143653869629,0.6657060384750366,1.139362096786499
11,0.9659562706947327,0.11242732405662537,0.6657060384750366,1.1837587356567383
12,0.9690008163452148,0.10398660600185394,0.6685879230499268,1.2592496871948242
13,0.9706615209579468,0.09564177691936493,0.6628242135047913,1.2942252159118652
14,0.9709382653236389,0.09154947102069855,0.6714697480201721,1.3502264022827148
15,0.9717686176300049,0.09473315626382828,0.6570605039596558,1.347022533416748
16,0.973706066608429,0.07903937250375748,0.6628242135047913,1.3984547853469849
17,0.975089967250824,0.07782842963933945,0.6743515729904175,1.3977954387664795
18,0.975643515586853,0.0770396739244461,0.6772334575653076,1.4390932321548462
19,0.9767506122589111,0.07538966089487076,0.6829971075057983,1.478174090385437
20,0.9745364189147949,0.07125335186719894,0.6714697480201721,1.4829498529434204
21,0.977027416229248,0.07409406453371048,0.6657060384750366,1.5450091361999512
22,0.9775809645652771,0.06210858002305031,0.6772334575653076,1.5557687282562256
23,0.9786880612373352,0.06739738583564758,0.6714697480201721,1.5624245405197144
24,0.977027416229248,0.061929211020469666,0.6685879230499268,1.5839452743530273
